"Top Level Domain","U-Label","Translation","Agreement Type","Operator","Agreement Status","Agreement Date","Link"
"aaa",,,"Base, Brand (Spec 13), Non-Sponsored","American Automobile Association, Inc.","active","26 Feb 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/aaa"
"aarp",,,"Base, Brand (Spec 13), Non-Sponsored","AARP","active","21 May 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/aarp"
"abarth",,,"Base, Brand (Spec 13), Non-Sponsored","Fiat Chrysler Automobiles N.V.","terminated","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/abarth"
"abb",,,"Base, Brand (Spec 13), Non-Sponsored","ABB Ltd","active","24 Oct 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/abb"
"abbott",,,"Base, Brand (Spec 13), Non-Sponsored","Abbott Laboratories, Inc.","active","24 Jul 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/abbott"
"abbvie",,,"Base, Brand (Spec 13), Non-Sponsored","AbbVie Inc.","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/abbvie"
"abc",,,"Base, Brand (Spec 13), Non-Sponsored","Disney Enterprises, Inc.","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/abc"
"able",,,"Base, Non-Sponsored","Able Inc.","active","25 Jun 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/able"
"abogado",,,"Base, Non-Sponsored","Registry Services, LLC","active","24 Apr 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/abogado"
"abudhabi",,,"Base, Non-Sponsored","Abu Dhabi Systems and Information Centre","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/abudhabi"
"academy",,,"Base, Non-Sponsored","Binky Moon, LLC","active","7 Nov 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/academy"
"accenture",,,"Base, Brand (Spec 13), Non-Sponsored","Accenture plc","active","15 Aug 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/accenture"
"accountant",,,"Base, Non-Sponsored","dot Accountant Limited","active","20 Nov 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/accountant"
"accountants",,,"Base, Non-Sponsored","Binky Moon, LLC","active","20 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/accountants"
"aco",,,"Base, Brand (Spec 13), Community (Spec 12), Non-Sponsored","ACO Severin Ahlmann GmbH & Co. KG","active","8 Jan 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/aco"
"active",,,"Base, Brand (Spec 13), Non-Sponsored","Active Network, LLC","terminated","1 May 2014","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/active"
"actor",,,"Base, Non-Sponsored","Dog Beach, LLC","active","12 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/actor"
"adac",,,"Base, Brand (Spec 13), Community (Spec 12), Non-Sponsored","Allgemeiner Deutscher Automobil-Club e.V. (ADAC)","terminated","16 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/adac"
"ads",,,"Base, Non-Sponsored","Charleston Road Registry Inc.","active","4 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/ads"
"adult",,,"Base, Non-Sponsored","ICM Registry AD LLC","active","16 Oct 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/adult"
"aeg",,,"Base, Brand (Spec 13), Non-Sponsored","Aktiebolaget Electrolux","active","19 Mar 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/aeg"
"aero",,,"Sponsored","SITA","active","26 Nov 2024","http://iti-web-icann-lax-prod/en/registry-agreements/details/aero"
"aetna",,,"Base, Brand (Spec 13), Non-Sponsored","Aetna Life Insurance Company","active","21 May 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/aetna"
"afamilycompany",,,"Base, Brand (Spec 13), Non-Sponsored","Johnson Shareholdings, Inc.","terminated","23 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/afamilycompany"
"afl",,,"Base, Brand (Spec 13), Non-Sponsored","Australian Football League","active","2 Oct 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/afl"
"africa",,,"Base, Non-Sponsored","ZA Central Registry NPC trading as Registry.Africa","active","24 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/africa"
"africamagic",,,"Base, Brand (Spec 13), Non-Sponsored","Electronic Media Network (Pty) Ltd","terminated","5 Mar 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/africamagic"
"agakhan",,,"Base, Non-Sponsored","Fondation Aga Khan (Aga Khan Foundation)","active","23 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/agakhan"
"agency",,,"Base, Non-Sponsored","Binky Moon, LLC","active","14 Nov 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/agency"
"aig",,,"Base, Brand (Spec 13), Non-Sponsored","American International Group, Inc.","active","18 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/aig"
"aigo",,,"Base, Brand (Spec 13), Non-Sponsored","aigo Digital Technology Co,Ltd.","terminated","6 Aug 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/aigo"
"airbus",,,"Base, Brand (Spec 13), Non-Sponsored","Airbus S.A.S.","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/airbus"
"airforce",,,"Base, Non-Sponsored","Dog Beach, LLC","active","6 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/airforce"
"airtel",,,"Base, Brand (Spec 13), Non-Sponsored","Bharti Airtel Limited","active","24 Oct 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/airtel"
"akdn",,,"Base, Non-Sponsored","Fondation Aga Khan (Aga Khan Foundation)","active","23 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/akdn"
"alfaromeo",,,"Base, Brand (Spec 13), Non-Sponsored","Fiat Chrysler Automobiles N.V.","terminated","31 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/alfaromeo"
"alibaba",,,"Base, Brand (Spec 13), Non-Sponsored","Alibaba Group Holding Limited","active","15 Jan 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/alibaba"
"alipay",,,"Base, Brand (Spec 13), Non-Sponsored","Alibaba Group Holding Limited","active","15 Jan 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/alipay"
"allfinanz",,,"Base, Non-Sponsored","Allfinanz Deutsche Vermögensberatung Aktiengesellschaft","active","3 Jul 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/allfinanz"
"allstate",,,"Base, Brand (Spec 13), Non-Sponsored","Allstate Fire and Casualty Insurance Company","active","31 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/allstate"
"ally",,,"Base, Brand (Spec 13), Non-Sponsored","Ally Financial Inc.","active","18 Jun 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/ally"
"alsace",,,"Base, Non-Sponsored","Region Grand Est","active","2 Jul 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/alsace"
"alstom",,,"Base, Brand (Spec 13), Non-Sponsored","ALSTOM","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/alstom"
"amazon",,,"Base, Brand (Spec 13), Non-Sponsored","Amazon Registry Services, Inc.","active","19 Dec 2019","http://iti-web-icann-lax-prod/en/registry-agreements/details/amazon"
"americanexpress",,,"Base, Brand (Spec 13), Non-Sponsored","American Express Travel Related Services Company, Inc.","active","31 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/americanexpress"
"americanfamily",,,"Base, Brand (Spec 13), Non-Sponsored","AmFam, Inc.","active","23 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/americanfamily"
"amex",,,"Base, Brand (Spec 13), Non-Sponsored","American Express Travel Related Services Company, Inc.","active","31 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/amex"
"amfam",,,"Base, Brand (Spec 13), Non-Sponsored","AmFam, Inc.","active","23 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/amfam"
"amica",,,"Base, Brand (Spec 13), Non-Sponsored","Amica Mutual Insurance Company","active","28 May 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/amica"
"amsterdam",,,"Base, Non-Sponsored","Gemeente Amsterdam","active","24 Jul 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/amsterdam"
"analytics",,,"Base, Non-Sponsored","Campus IP LLC","active","18 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/analytics"
"android",,,"Base, Brand (Spec 13), Non-Sponsored","Charleston Road Registry Inc.","active","7 Aug 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/android"
"anquan",,,"Base, Non-Sponsored","Beijing Qihu Keji Co., Ltd.","active","8 Jan 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/anquan"
"anz",,,"Base, Brand (Spec 13), Non-Sponsored","Australia and New Zealand Banking Group Limited","active","31 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/anz"
"aol",,,"Base, Brand (Spec 13), Non-Sponsored","Yahoo Inc.","active","17 Sep 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/aol"
"apartments",,,"Base, Non-Sponsored","Binky Moon, LLC","active","11 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/apartments"
"app",,,"Base, Non-Sponsored","Charleston Road Registry Inc.","active","14 May 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/app"
"apple",,,"Base, Brand (Spec 13), Non-Sponsored","Apple Inc.","active","14 May 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/apple"
"aquarelle",,,"Base, Brand (Spec 13), Non-Sponsored","Aquarelle.com","active","24 Jul 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/aquarelle"
"arab",,,"Base, Non-Sponsored","League of Arab States","active","12 Nov 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/arab"
"aramco",,,"Base, Non-Sponsored","Aramco Services Company","active","20 Nov 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/aramco"
"archi",,,"Base, Community (Spec 12), Non-Sponsored","Identity Digital Domains Limited","active","6 Feb 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/archi"
"army",,,"Base, Non-Sponsored","Dog Beach, LLC","active","6 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/army"
"art",,,"Base, Non-Sponsored","UK Creative Ideas Limited","active","24 Mar 2016","http://iti-web-icann-lax-prod/en/registry-agreements/details/art"
"arte",,,"Base, Brand (Spec 13), Non-Sponsored","Association Relative à la Télévision Européenne G.E.I.E.","active","11 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/arte"
"asda",,,"Base, Brand (Spec 13), Non-Sponsored","Asda Stores Limited","active","31 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/asda"
"asia",,,"Base, Community (Spec 12), Sponsored","DotAsia Organisation Limited","active","30 Jun 2019","http://iti-web-icann-lax-prod/en/registry-agreements/details/asia"
"associates",,,"Base, Non-Sponsored","Binky Moon, LLC","active","6 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/associates"
"athleta",,,"Base, Brand (Spec 13), Non-Sponsored","The Gap, Inc.","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/athleta"
"attorney",,,"Base, Non-Sponsored","Dog Beach, LLC","active","20 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/attorney"
"auction",,,"Base, Non-Sponsored","Dog Beach, LLC","active","20 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/auction"
"audi",,,"Base, Brand (Spec 13), Community (Spec 12), Non-Sponsored","AUDI Aktiengesellschaft","active","21 May 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/audi"
"audible",,,"Base, Brand (Spec 13), Non-Sponsored","Amazon Registry Services, Inc.","active","25 Jun 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/audible"
"audio",,,"Base, Non-Sponsored","XYZ.COM LLC","active","20 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/audio"
"auspost",,,"Base, Brand (Spec 13), Non-Sponsored","Australian Postal Corporation","active","13 Aug 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/auspost"
"author",,,"Base, Non-Sponsored","Amazon Registry Services, Inc.","active","18 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/author"
"auto",,,"Base, Non-Sponsored","XYZ.COM LLC","active","13 Nov 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/auto"
"autos",,,"Base, Non-Sponsored","XYZ.COM LLC","active","9 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/autos"
"avianca",,,"Base, Non-Sponsored","Avianca Inc.","terminated","8 Jan 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/avianca"
"aws",,,"Base, Brand (Spec 13), Non-Sponsored","AWS Registry LLC","active","25 Jun 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/aws"
"axa",,,"Base, Brand (Spec 13), Non-Sponsored","AXA Group Operations SAS","active","19 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/axa"
"azure",,,"Base, Brand (Spec 13), Non-Sponsored","Microsoft Corporation","active","18 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/azure"
"baby",,,"Base, Non-Sponsored","XYZ.COM LLC","active","9 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/baby"
"baidu",,,"Base, Brand (Spec 13), Non-Sponsored","Baidu, Inc.","active","8 Jan 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/baidu"
"banamex",,,"Base, Brand (Spec 13), Non-Sponsored","Citigroup Inc.","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/banamex"
"bananarepublic",,,"Base, Brand (Spec 13), Non-Sponsored","The Gap, Inc.","terminated","31 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/bananarepublic"
"band",,,"Base, Non-Sponsored","Dog Beach, LLC","active","12 Jun 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/band"
"bank",,,"Base, Community (Spec 12), Non-Sponsored","fTLD Registry Services LLC","active","25 Sep 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bank"
"bar",,,"Base, Non-Sponsored","Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable","active","12 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/bar"
"barcelona",,,"Base, Community (Spec 12), Non-Sponsored","Municipi de Barcelona","active","24 Jul 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/barcelona"
"barclaycard",,,"Base, Brand (Spec 13), Non-Sponsored","Barclays Bank PLC","active","20 Nov 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/barclaycard"
"barclays",,,"Base, Brand (Spec 13), Non-Sponsored","Barclays Bank PLC","active","20 Nov 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/barclays"
"barefoot",,,"Base, Brand (Spec 13), Non-Sponsored","Gallo Vineyards, Inc.","active","11 Jun 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/barefoot"
"bargains",,,"Base, Non-Sponsored","Binky Moon, LLC","active","14 Nov 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/bargains"
"baseball",,,"Base, Non-Sponsored","MLB Advanced Media DH, LLC","active","29 Oct 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/baseball"
"basketball",,,"Base, Non-Sponsored","Fédération Internationale de Basketball (FIBA)","active","20 Aug 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/basketball"
"bauhaus",,,"Base, Brand (Spec 13), Non-Sponsored","Werkhaus GmbH","active","17 Apr 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bauhaus"
"bayern",,,"Base, Non-Sponsored","Bayern Connect GmbH","active","23 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bayern"
"bbc",,,"Base, Brand (Spec 13), Non-Sponsored","British Broadcasting Corporation","active","18 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bbc"
"bbt",,,"Base, Brand (Spec 13), Non-Sponsored","BB&T Corporation","active","23 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/bbt"
"bbva",,,"Base, Brand (Spec 13), Non-Sponsored","BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","active","2 Oct 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bbva"
"bcg",,,"Base, Brand (Spec 13), Non-Sponsored","The Boston Consulting Group, Inc.","active","2 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/bcg"
"bcn",,,"Base, Non-Sponsored","Municipi de Barcelona","active","24 Jul 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bcn"
"beats",,,"Base, Brand (Spec 13), Non-Sponsored","Beats Electronics, LLC","active","14 May 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/beats"
"beauty",,,"Base, Non-Sponsored","XYZ.COM LLC","active","3 Dec 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/beauty"
"beer",,,"Base, Non-Sponsored","Registry Services, LLC","active","9 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/beer"
"bentley",,,"Base, Brand (Spec 13), Non-Sponsored","Bentley Motors Limited","terminated","18 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/bentley"
"berlin",,,"Base, Community (Spec 12), Non-Sponsored","dotBERLIN GmbH & Co. KG","active","31 Oct 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/berlin"
"best",,,"Base, Non-Sponsored","BestTLD Pty Ltd","active","19 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/best"
"bestbuy",,,"Base, Brand (Spec 13), Non-Sponsored","BBY Solutions, Inc.","active","31 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/bestbuy"
"bet",,,"Base, Non-Sponsored","Identity Digital Domains Limited","active","7 May 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/bet"
"bharti",,,"Base, Brand (Spec 13), Non-Sponsored","Bharti Enterprises (Holding) Private Limited","active","9 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bharti"
"bible",,,"Base, Non-Sponsored","American Bible Society","active","19 Jun 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bible"
"bid",,,"Base, Non-Sponsored","dot Bid Limited","active","19 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/bid"
"bike",,,"Base, Non-Sponsored","Binky Moon, LLC","active","27 Aug 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/bike"
"bing",,,"Base, Brand (Spec 13), Non-Sponsored","Microsoft Corporation","active","18 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bing"
"bingo",,,"Base, Non-Sponsored","Binky Moon, LLC","active","4 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bingo"
"bio",,,"Base, Non-Sponsored","Identity Digital Domains Limited","active","6 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/bio"
"biz",,,"Base, Non-Sponsored","Registry Services, LLC","active","30 Jun 2019","http://iti-web-icann-lax-prod/en/registry-agreements/details/biz"
